,multinomial_ranks,rpvals,rstats,tpvals,tstats
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum_pernix,1.230924754071875,0.3900029516427528,-0.12423786050704103,0.4416169004212185,0.785901234864823
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus_kamchatkensis,0.22558572762076426,0.8384256261201862,-0.029578735655615664,0.32987680092112504,1.0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus_hospitalis,0.22358897202078865,0.304232292929519,-0.14824098241493489,0.32987680092112504,0.9999999999999998
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus_marinus,0.248061864305182,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;Hyperthermus_butylicus,0.16323056690756846,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera_sedula,0.16648831837241218,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus_acidocaldarius,0.2250027941948609,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus_islandicus,0.17957439892355964,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus_solfataricus,0.1972095059639649,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus_tokodaii,-1.7926453066581054,0.49945553925161634,-0.09775173707854995,0.4371583931924996,0.7937221425391966
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;Thermofilum_pendens,0.2382391976601319,0.8384256261201862,-0.029578735655615678,0.32987680092112504,1.0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;Caldivirga_maquilingensis,0.1990379380470948,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_aerophilum,0.18465772144858408,0.3794035815522774,-0.12701684071814606,0.32987680092112504,0.9999999999999998
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_arsenaticum,0.22960188858573005,0.8384256261201862,-0.029578735655615678,0.32987680092112504,1.0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_calidifontis,0.8775257753617005,0.5588301631288894,-0.08466484963839453,0.17113965609703516,1.4223335445395324
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_islandicum,0.1790193604714112,1.0,,,
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_neutrophilum,-2.9010556650870605,0.2448561122329216,-0.16753565668474293,,
